language,title,QID,p21,gender,p106,occupation,pw first sentence
en,Kate Craig,Q19877200,Q6581072,female,,,"Kate Craig (September 15, 1947 – July 23, 2002) was a pioneering Canadian video and performance artist"
en,Kate Lanphear,Q28871499,Q6581072,female,,,Kate Lanphear is head of Google's Fashion Week search project
en,Kim Alsbrooks,Q19609553,Q6581072,female,,,Kim Alsbrooks is a Philadelphia-based artist
en,Libby Hague,Q19666002,Q6581072,female,,,"Libby Hague (born 1950) is a prolific Canadian artist based in Toronto, Ontario"
en,Lili Réthi,Q28801936,Q6581072,female,,,"Lili Réthi (November 19, 1894 – 1969) was an artist and illustrator"
en,Lois Andison,Q19666677,Q6581072,female,,,"Lois Andison is an installation artist whose mixed materials installations explore intersections of technology, geography and the body"
en,Lori Blondeau,Q19609740,Q6581072,female,,,"Lori Blondeau is a Cree/Saulteaux/Métis artist working primarily in performance art, but also in installation and photography"
en,Lorna Brown,Q19609796,Q6581072,female,,,"Lorna Brown (born 1958) is a Canadian artist, curator and writer"
en,Louise Odes Neaderland,Q19519635,Q6581072,female,,,"Louise Odes Neaderland (born August 23, 1932) is an American photographer, printmaker, book artist and founder of the International Society of Copier Artists (I"
en,Lyle Durgin,Q28859850,Q6581072,female,,,Lyle Durgin (1850-1904) was a 19th-century American artist from the U
en,Margaret Hardenbroeck,Q16859820,Q6581072,female,,,Margaret Hardenbroeck (c
en,Maria Gough,Q28861606,Q6581072,female,,,"Maria Gough is Joseph Pulitzer, Jr"
en,Martha Hellion,Q19664696,Q6581072,female,,,"Martha Hellion is a visual artist, radical publisher, and freelance curator"
en,Martha Sturdy,Q28859182,Q6581072,female,,,Martha Sturdy (born 1942) is a Canadian artist and designer
en,Mary Adaline Edwarda Carter,Q28872876,Q6581072,female,,,Mary Adaline Edwarda Carter was an American industrial art instructor and designer from the U
en,Mary Hortense Webster,Q19667644,Q6581072,female,,,Mary Hortense Webster (1881–1965) was mainly known as a sculptor
en,Mary Rogers Gregory,Q28860118,Q6581072,female,,,"Mary Rogers Gregory (née Mary Bland Rogers; May 6, 1846 – 1919) was a 19th-century American artist from the U"
en,Maureen Connor,Q20641972,Q6581072,female,,,Maureen Connor (born 1947) creates installations and videos dealing with human resources and social justice
en,Nicole Collins,Q21934097,Q6581072,female,,,"Nicole Collins is a contemporary Canadian artist whose work (most of which takes the form of painting, performance, video, and sound), explores the effect of time, accumulation, force and heat on visceral materials"
en,Nicole Vogel,Q19667730,Q6581072,female,,,Nicole Vogel is an American magazine publisher and author
en,Nina Pope,Q19586160,Q6581072,female,,,"Nina Pope (born 1967) is an artist that works with public art, installation, film making, and internet publishing that lives and works in London"
en,Pamela M. Lee,Q28869024,Q6581072,female,,,Pamela M
en,Paula Murray,Q19661891,Q6581072,female,,,Paula Murray (born 1958) is a Canadian ceramics artist
en,Penelope Stewart,Q19666483,Q6581072,female,,,"Penelope Stewart is a Toronto-based multi-disciplinary artist whose work encompasses installation, sculpture, photography and paper-based projects"
en,Renata Holod,Q25454231,Q6581072,female,,,Renata Holod is an art/architectural historian and archaeologist of the Islamic world
en,Reva Stone,Q19663914,Q6581072,female,,,Reva Stone (born 1944) is a Canadian artist known for her digital artworks
en,Sallie Casey Thayer,Q19668749,Q6581072,female,,,"Sallie Casey Thayer (born February 14, 1856 in Covington, Kentucky, as Sallie Casey, died September 10, 1925) was a Kansas City art collector and advocate"
en,Sandra Bromley,Q19663329,Q6581072,female,,,Sandra Bromley is a Canadian artist
en,Sandra Monterroso,Q20195434,Q6581072,female,,,Sandra Monterroso (1974) is a Guatemalan visual artist and designer
en,Sophia Wallace,Q19564480,Q6581072,female,,,Sophia Wallace (born 1978) is an American conceptual artist and photographer
en,Tricia Middleton,Q19896208,Q6581072,female,,,"Tricia Middleton (born 1972) is an installation artist based in Montreal, Quebec"
en,Vaughan Grayson,Q28862272,Q6581072,female,,,"Ellen Vaughan Kirk Grayson (September 14, 1894 – February 8, 1995) was a Canadian artist and educator"
en,Z. S. Strother,Q28861619,Q6581072,female,,,Z
fr,Inez Nathaniel Walker,Q19630842,Q6581072,female,,,"Inez Nathaniel Walker, née Inez Stedman, est une artiste autodidacte afro-américaine, née en 1911 à Sumter, en Caroline du Sud"
pt,Maria João Madeira Rodrigues,Q20049140,Q6581072,female,,,"Professora Catedrática da Faculdade de Arquitectura da Universidade de Lisboa, onde foi directora do seu departamento de História e Fenomenologia da Arquitectura"
pt,Ângela Ferreira,Q20047924,Q6581072,female,,,"Ângela Ferreira (Maputo, Moçambique, 1958) é uma artista plástica de origem portuguesa"
de,Canan Arin,Q28869630,Q6581072,female,,,Canan Arin (geboren 1942 in Ankara) ist eine türkische Frauenrechtlerin und Rechtsanwältin
en,Ada Cohen,Q28925107,Q6581072,female,,,Ada Cohen is Professor of Art History and Israel Evans Professor in Oratory and Belles Lettres at Dartmouth College
en,Ada Louise Powell,Q20685172,Q6581072,female,,,"Ada Louise Powell, maiden name Ada Louise Lessore, was granddaughter to the esteemed Émile Lessore a free hand designer for Wedgwood and sister to the artist Thérèse Lessore"
en,Addie Wagenknecht,Q23417143,Q6581072,female,,,"Addie Wagenknecht (born Portland, Oregon) is an American artist and researcher living in New York City and Austria"
en,Adelaide Deming,Q23091494,Q6581072,female,,,"Adelaide Deming (December 12, 1864 – 1956) was an American painter, associated for much of her life with Litchfield, Connecticut"
en,Adrienne Germain,Q23682360,Q6581072,female,,,Adrienne Germain (born 1947) is a women's health advocate and activist
en,Agnes Dunbar Moodie Fitzgibbon,Q29056743,Q6581072,female,,,Agnes Dunbar Moodie Fitzgibbon (1833 — 1913) was a Canadian artist living in Ontario
en,Agnes de Silva,Q23584804,Q6581072,female,,,"Agnes de Silva (1885 - 1961) also known as Agnes Marion de Silva (née Nell), was Sri Lankan women activist from a progressive society who, during the 1930s, pioneered issues related to women and in particular adult suffrage or franchise for women in Sri Lanka"
en,Albertina Kerr,Q19467772,Q6581072,female,,,"Albertina Kerr (July 13, 1890 – October 17, 1911), was the wife of Kerr Glass Company founder Alexander H"
en,Alice Carmen Gouvy,Q29054734,Q6581072,female,,,Alice Carmen Gouvy (c
en,Alice Donlevy,Q28921769,Q6581072,female,,,Alice Heighes Donlevy (7 January 1846 - 1929) was a 19th-century British-born American artist and writer on art who specialized in wood engraving and illumination
en,Alice Hirschberg,Q28921770,Q6581072,female,,,Alice Hirschberg (née Alice Kerr-Nelson; 12 February 1856 - 1913) was a British painter and illustrator
en,Alice J. Shaw,Q29094148,Q6581072,female,,,Alice J
en,Alice Ming Wai Jim,Q29018585,Q6581072,female,,,"Alice Ming Wai Jim is an art historian, curator and an associate professor at Concordia University in Montreal, Quebec, Canada"
en,Alicia McCarthy,Q19668274,Q6581072,female,,,Alicia McCarthy is an American painter
en,Aline Elizabeth Black,Q23688732,Q6581072,female,,,"Aline Elizabeth Black, also known under her married name of Aline Elizabeth Black Hicks, (born 1906, died 1974) was an African-American educator, known for taking part in a civil rights court case that centered on unequal pay"
en,Alison Mason Kingsbury,Q23018309,Q6581072,female,,,"Alison Mason Kingsbury Bishop (born Alison Mason Kingsbury, 1898-1988) was an artist who lived and worked in Ithaca, New York"
en,Alix d'Anethan,Q23584569,Q6581072,female,,,"Alix Apolline Louise d'Anethan (November 12, 1848 – June 11, 1921) was a Belgian painter"
en,Allyson Clay,Q28967845,Q6581072,female,,,"Allyson Clay (born 1953, Vancouver, Canada) is a Canadian visual artist, curator, and educator based in Vancouver, B"
en,Alma Eikerman,Q23688793,Q6581072,female,,,"Alma Eikerman spent a lifetime building skills in metalsmithing, silversmithing, and jewelry design and passed that knowledge on to generations of students during her time at Indiana University"
en,Alma Ruiz,Q19575080,Q6581072,female,,,"Alma Ruiz is a curator, best known as a longtime, former senior curator at the Museum of Contemporary Art, Los Angeles (MOCA)"
en,Amalia Ciardi Duprè,Q23682769,Q6581072,female,,,Amalia Ciardi Duprè (born 1934) is an Italian sculptor and painter
en,Amanda Phelan,Q23770168,Q6581072,female,,,Amanda Phelan is the Creative Director and CEO of designer fashion label Phelan
en,Amy Leong Pang,Q23615520,Q6581072,female,,,Amy Leong Pang (1908–1989) was a painter from Trinidad and Tobago
en,Amy Wilson (artist)|Amy Wilson,Q4749450,Q6581072,female,,,"Amy Wilson may refer to:
Amy Wilson (artist) (born 1973), American artist
Amy Wilson (footballer) (born 1980), Australian football player
Amy Wilson-Hardy (born 1991), English rugby player"
en,Anastasia Khoroshivlova,Q29452278,Q6581072,female,,,"Anastasia Khoroshilova (born 1978 in Moscow, Russia) is an artist"
en,Andrea Cunningham,Q16187032,Q6581072,female,,,"Andrea ""Andy"" Cunningham is an American strategic marketing and communications enterpreneur"
en,Angie Dickerson,Q19467697,Q6581072,female,,,"Angie Dickerson was a New York-based tenants' rights organizer involved in the Communist Party, and was under surveillance by the FBI"
en,Anita Douthat,Q23014934,Q6581072,female,,,"Anita Douthat (born 1950) is an American photographer that creates work ""in areas that could be called experimental, and painstakingly ethereal images of transfixing and even transcending beauty"
en,Ann Gunter,Q28921774,Q6581072,female,,,Ann Gunter is an art historian and Bertha and Max Dressler Professor in the Humanities at Northwestern University
en,Ann Rowles,Q23023698,Q6581072,female,,,Ann Rowles is a mixed media sculptor
en,Anna Daučíková,Q10826030,Q6581072,female,,,"Anna Daučíková (born August 18, 1950) is Slovak visual artist based in Prague and Bratislava"
en,Anna Joy Springer,Q19667561,Q6581072,female,,,"Anna Joy Springer is an American author, visual artist, feminist punk performer, and an associate professor of writing at University of California, San Diego, Springer is the recipient of the Distinguished Teaching Award (2010) and the Chancellor's Associates Faculty Excellence Award for Visual Arts and Performance (2013)"
en,Anna Jóelsdóttir,Q19958292,Q6581072,female,,,"Anna Jóelsdóttir is a contemporary artist of Icelandic heritage, now based in Reykjavik  She is known for sculptural works of painted canvas often created as site specific installations"
en,Anna Lee Keys Worley,Q23621809,Q6581072,female,,,"Anna Lee Keys Worley (1876 - 1961) was the first woman elected to the Tennessee Senate, representing Sullivan County"
en,Anne Ferran,Q23682354,Q6581072,female,,,Anne Ferran (born 1949) is an Australian photographer
en,Anne Jolliffe,Q23035661,Q6581072,female,,,Anne Jolliffe (born in 1933) is the first Australian woman animator
en,Annette Cone-Skelton,Q19519477,Q6581072,female,,,"Annette Cone-Skelton (born 1942) is a Georgia-based American artist, teacher, gallerist and art consultant"
en,Annie Lee (artist),Q23023313,Q6581072,female,,,Annie Frances Lee (3 March 1935 – 24 November 2014) was an American artist
en,Antonia Wright (artist),Q24005425,Q6581072,female,,,"Antonia Wright (born 1979) is an artist from Miami, Florida"
en,Anya Liftig,Q23409748,Q6581072,female,,,Anya Liftig (born 1977) is an American performance artist
en,Aquilina Howell,Q23035350,Q6581072,female,,,"Aquilina Celia Casañas Howell (May 3, 1917 – January 13, 2000) was the first woman to serve as Assistant Superintendent of Leon County Schools, serving from 1981 until her retirement in 1985"
en,Arabella Campbell,Q28974170,Q6581072,female,,,"Arabella Campbell is a Canadian artist based in Vancouver, British Columbia"
en,Arlene Textaqueen,Q23409650,Q6581072,female,,,Arlene TextaQueen (born 1975) is an Australian artist
en,Ashley Benton,Q23302716,Q6581072,female,,,Ashley Benton is an American artist
en,Ats Bonninga,Q4817729,Q6581072,female,,,Ats Bonninga (fl
en,Banu Subramaniam,Q28867742,Q6581072,female,,,"Banu Subramaniam (born 1966) is a professor of women, gender and sexuality studies at the University of Massachusetts, Amherst"
en,Barbara Beskind,Q19467607,Q6581072,female,,,Barbara Beskind is an American inventor and designer
en,Barbara Bry,Q28086117,Q6581072,female,,,"Barbara Bry is an American elected official in San Diego, California"
en,Barbara Lee Smith,Q22278818,Q6581072,female,,,"Barbara Lee Smith (born 1 April 1938) is a mixed media artist, writer, educator, and curator"
en,Barbara Meneley,Q23074101,Q6581072,female,,,Barbara Meneley is a contemporary Canadian visual artist and educator
en,Barbara Yeaman,Q23055212,Q6581072,female,,,"Barbara (Sturgeon) Yeaman (born December 16, 1924) is the founder of Delaware Highlands Conservancy, an accredited land trust serving Pike and Wayne counties, in Pennsylvania, and Sullivan and Delaware counties, in New York"
en,Beatrice Centner Davidson,Q29047981,Q6581072,female,,,"Beatrice Centner Davidson (1909 – March 5, 1986) was a Canadian architect living in Ontario"
en,Beatrice Lennie,Q28935059,Q6581072,female,,,"Edith Beatrice Catharine Lennie (June 16, 1905 – June 1, 1987) was a Canadian painter and sculptor"
en,Beatrice Van Ness,Q23620378,Q6581072,female,,,Beatrice Whitney Van Ness (1888–1981) was an American painter
en,Bella Feldman,Q23302979,Q6581072,female,,,"Bella Feldman is an American sculptor whose work addresses the themes of sexuality, war, and the persistent anxiety of the industrial age"
en,Bertha Van Hoosen,Q23613903,Q6581072,female,,,"Bertha Van Hoosen (March 26, 1863 – June 7, 1952) was the first president and one of the founders of the American Medical Women's Association in 1915"
en,Bethany Yellowtail,Q29003259,Q6581072,female,,,"Bethany Yellowtail is a fashion designer based in Los Angeles, California"
en,Bettina Steinke,Q23618259,Q6581072,female,,,"Bettina Steinke (June 25, 1913 – 1999) was an American painter and muralist"
en,Bev Pike,Q23770260,Q6581072,female,,,Bev Pike is a Winnipeg-based visual artist who works primarily in large-scale painting of baroque landforms
en,Bharti Dayal,Q23414725,Q6581072,female,,,Bharti Dayal is an artist specialising in Madhubani art
en,Binalakshmi Nepram,Q23409712,Q6581072,female,,,"Binalakshmi Nepram is a humanitarian, author, and female activist for the advocacy of gender rights and women-led disarmament movements with the objective of arresting gun culture and bringing about peace for her home state of Manipur in particular and northeast India in general"
en,Birgitta Hosea,Q23416749,Q6581072,female,,,Birgitta Hosea (born 1966) is a British animation artist of Scottish and Swedish descent
en,Blanca Enriquez,Q24260881,Q6581072,female,,,Blanca Enriquez is an American educator
en,Blanche Bolduc,Q28923768,Q6581072,female,,,"Blanche Bolduc (April 13, 1906 or 1907 – February 14, 1998) was a Canadian folk artist living in Quebec"
en,Blanche Dillaye,Q28921783,Q6581072,female,,,Blanche Annie Dillaye (sometimes Annie Blanche Dillaye; 1851 – 1932) was a 19th-century artist from the U
en,Blanche Grant,Q23013595,Q6581072,female,,,"Blanche Chloe Grant (1874–1948) was an American artist, magazine illustrator and author"
en,Blossom Caron,Q29000494,Q6581072,female,,,Blossom Caron (1905 – 1999) was a Canadian photographer
en,Bonna Daix Wescoat,Q28921784,Q6581072,female,,,Bonna Daix Wescoat is an art historian and Samuel Candler Dobbs Professor of Art History at Emory University
en,Bonnie MacLeary,Q23074252,Q6581072,female,,,"Bonnie MacLeary (sometimes McLeary, which is how she signed her work) (January 2, 1902 – February 2, 1971) was an American sculptor"
en,Bonny Pierce Lhotka,Q23020586,Q6581072,female,,,"Bonny Pierce Lhotka (born 1942) is a painter and mixed-media artist, and tradigital art"
en,Boyfriend (rapper)|Boyfriend,Q23016677,Q6581072,female,,,"Boyfriend is an American sex positive rapper, songwriter, and performance artist"
en,Brenda Elaine Stevenson,Q23138265,Q6581072,female,,,"Brenda Elaine Stevenson is an American historian specializing in the History of the Southern United States and African American history, particularly slavery, gender, race and race riots"
en,Brigitte Hitschler,Q23014972,Q6581072,female,,,"Brigitte Hitschler (born 1954 in Bochum, Germany) is a German artist"
en,Camille Patha,Q23302873,Q6581072,female,,,"Camille Patha is a visual artist who lives and works in Normandy, Washington"
en,Candice Hopkins,Q29035425,Q6581072,female,,,"Candice Hopkins (born 1977 in Whitehorse, Yukon) is a curator, writer, and researcher who predominantly explores areas of history, art, and indigeneity, and their intersections"
en,Carla Gannis,Q19571899,Q6581072,female,,,Carla Gannis is an American artist based in New York and professor at the Pratt Institute in the Department of Digital Arts
en,Carol Nixon,Q23771144,Q6581072,female,,,"Carol Nixon is President of Utah Families Foundation, Utah Arts Council director and the first female to serve as chief of staff to an Utah governor"
en,Carole Itter,Q23682753,Q6581072,female,,,"Carole Itter (born 1939) is a Canadian artist, writer and filmmaker"
en,Caroline Spencer (suffragist),Q23617988,Q6581072,female,,,Caroline Spencer (1861–1928) was an American physician and suffragist who campaigned vigorously for women's rights
en,Caroline Townsend,Q29035296,Q6581072,female,,,"Caroline Townsend was an American designer and embroiderer, best known for her design work at Tiffany & Co"
en,Cat Mazza,Q19664605,Q6581072,female,,,Cat Mazza is an American textile artist
en,Catherine Amelia Fay Ewing,Q28939002,Q6581072,female,,,"Catherine Amelia Fay Ewing (née Catherine Amelia Fay; nickname, Aunt Katy; July 18, 1822 - April 4, 1897) was an American educator, missionary, philanthropist, activists, and social reformer from the U"
en,Cecil Jay,Q23614377,Q6581072,female,,,"Cecil Jay (1883–1954) was an Anglo-American painter, mainly of portraits and miniatures"
en,Cecil Tremayne Buller,Q28973495,Q6581072,female,,,"Cecil Tremayne Buller (September 15, 1886 – September 29, 1973) was a Canadian artist"
en,Cecilie Dahl,Q23462018,Q6581072,female,,,"Cecilie Dahl is an artist currently living and working in New York and Oslo, Norway"
en,Celeste Kaplan,Q23017056,Q6581072,female,,,"Celeste Strack Kaplan (née Strack, 1915 - December 1, 1998), was an American social worker, educator, and activist"
en,Celia Álvarez Muñoz,Q23074144,Q6581072,female,,,"Celia Álvarez Muñoz (born 1937) is a Chicana mixed-media conceptual artist and photographer based in Arlington, Texas"
en,Chantal Pontbriand,Q22911710,Q6581072,female,,,Chantal Pontbriand is a Canadian curator and art critic whose work explores globalization and artistic heterogeneity
en,Charlene Carruthers,Q23007555,Q6581072,female,,,Charlene Carruthers is a black queer feminist activist and organizer
en,Cherie Kluesing,Q23688852,Q6581072,female,,,"Cherie Kluesing was an American landscape architect, designer, and educator"
en,Cheryl Hanna,Q19802660,Q6581072,female,,,"Cheryl Irene Hanna (born January 7, 1951) is an American artist and illustrator"
en,Chie Fueki,Q23303021,Q6581072,female,,,Chie Fueki (born 1973) is a Japanese American painter
en,Cicely Corbett Fisher,Q23584225,Q6581072,female,,,Cicely Corbett Fisher (1885–1959) was a British suffragist and workers' rights activist
en,Claire Holt (art historian),Q23022033,Q6581072,female,,,"Claire Holt (23 August 1901-29 May 1970) was a Latvian-born American journalist, anthropologist, and art historian who was a specialist in the arts of Indonesia"
en,Claire Holt (art historian)|Claire Holt,Q23022033,Q6581072,female,,,"Claire Holt (23 August 1901-29 May 1970) was a Latvian-born American journalist, anthropologist, and art historian who was a specialist in the arts of Indonesia"
en,Clara Louise Thompson,Q23138593,Q6581072,female,,,"Clara Louise Thompson (born 1884) was an American educator, Latinist, activist, feminist, and suffragette"
en,Clara McDonald Williamson,Q23621679,Q6581072,female,,,"Clara McDonald Williamson (November 20, 1875 – February 17, 1976) was a 20th century American painter who worked in the tradition of naïve art"
en,Claudia Cuesta,Q29378794,Q6581072,female,,,"Claudia Cuesta is a Colombian artist based in Sechelt, British Columbia"
en,Concepción Felix,Q23301398,Q6581072,female,,,Concepción Felix Roque (9 February 1884 – 26 January 1967) was a Filipina feminist and human rights activist
en,Constance Thalken,Q23304331,Q6581072,female,,,Constance Thalken (/tah-kin/; born 1952 in Nebraska) is an American intermedia artist known foremost for her photographic explorations of the complexities of loss
en,Cora Folsom Salisbury,Q29023837,Q6581072,female,,,"Cora May Folsom Salisbury Aulmann (February 12, 1868 — April 16, 1916), sometimes billed as C"
en,Crista Dahl,Q29054739,Q6581072,female,,,"Crista Dahl (born 1934) is a Canadian artist based in Vancouver, British Columbia, volunteer and the person for whom The Crista Dahl Media Library & Archive is named (see, VIVO Media Arts Centre)"
en,Cynthia Chalk,Q28935070,Q6581072,female,,,"Cynthia Chalk (born December 9, 1913) is a Canadian photographer"
en,Daisy Rossi,Q23621640,Q6581072,female,,,"Daisy Mary Rossi (18 January 1879 – 4 August 1974) was an Australian artist, interior designer and writer"
en,Danièle Nyst,Q19964294,Q6581072,female,,,"Danièle Nyst (1942 – April 3, 1998) was a Belgian video artist"
en,Daria Dorosh,Q23682344,Q6581072,female,,,"Daria Dorosh (born 1943) is an artist, educator and activist"
en,Darlene Ka-Mook Nichols,Q23304416,Q6581072,female,,,"Darlene Nichols, also known by the names Kamook, Ka-Mook, Kamook Nichols and Ka-Mook Nichols, is the name of a former AIM member and Native American protester"
en,Dasha Shishkin,Q19661795,Q6581072,female,,,"Dasha Shishkin (born 1977) is an artist who works in acrylic, gouache, pastel, conté crayon, graphite, and ink"
en,Deirdre Heddon,Q23418888,Q6581072,female,,,"Deirdre Heddon (born 1969), is Professor of Contemporary Performance at the University of Glasgow (UK)"
en,Delia Cancela,Q28867958,Q6581072,female,,,"Delia Cancela (born 1940, Buenos Aires) is an Argentine pop artist and fashion designer"
en,Deng Yuzhi,Q15952825,Q6581072,female,,,"Deng Yuzhi (Chinese: 鄧裕志, September 1900–1 October 1996) also known as Cora Deng, was a Chinese social and Christian activist, and a feminist"
en,Diana Jue,Q23771265,Q6581072,female,,,Diana Jue is an American female activist who is promoting life-improving technologies in South India
en,Diana Thorneycroft,Q23770307,Q6581072,female,,,"Diana Thorneycroft (born 1956 in Claresholm, Alberta) is a Winnipeg-based artist whose work has exhibited nationally and internationally"
en,Diane Carr,Q23023157,Q6581072,female,,,Diane Carr (born 1946) is a Michigan-based artist known for her relief sculptures incorporating natural materials and forms
en,Dineo Seshee Bopape,Q23416727,Q6581072,female,,,Dineo Seshee Bopape is a South African multimedia artist
en,Ding Shujing,Q23585062,Q6581072,female,,,"Ding Shujing (Chinese: 丁淑静, February 1890 – 27 July 1936) was the first Chinese leader of the Chinese YWCA, holding office from 1925 to 1936"
en,Divya Mehra,Q23770253,Q6581072,female,,,"Divya Mehra is an artist who also splits her time between Winnipeg, New York, and Delhi"
en,Donna Kriekle,Q23022999,Q6581072,female,,,"Donna Kriekle (born 1945) is a Canadian artist who lives in Regina, Saskatchewan"
en,Doreen Jensen,Q23585158,Q6581072,female,,,"Doreen Jensen (May 13, 1933–September 18, 2009), also known as Ha'hl Yee, was a Gitsxan elder, artist, carver, activist and educator"
en,Dorit Levinstein,Q23304448,Q6581072,female,,,Dorit Levinstein (born in 1956) is a sculptor and painter
en,Dorothy Braddell,Q23582854,Q6581072,female,,,"Dorothy Braddell (1889–1981) was a mid 20th century British writer and designer who had ""a significant impact on the design of kitchens and domestic appliances"" and on ideas about more efficient home management"
